"alpha","R_x","Model","R_g","R_c","sMSE_M","sMSE_grad","sMSE_curl","sMSE_cov","Accuracy_M","Accuracy_grad","Accuracy_curl","Accuracy_cov","CP_M","CP_grad","CP_curl","CP_cov","CIL_M","CIL_grad","CIL_curl","CIL_cov","Time"
0.25,0.1,"BBT",1,0,0.594538721849655,0.0512352688392781,NA,NA,0.724689655172414,0.897287356321839,NA,NA,0.436344827586207,0.94783908045977,NA,NA,0.441523376508885,0.441523376508885,NA,NA,15.4326524400711
0.25,0.2,"BBT",1,0,0.636938383092952,0.050189177977604,NA,NA,0.710436781609195,0.890735632183908,NA,NA,0.42032183908046,0.950413793103448,NA,NA,0.440307541032191,0.440307541032191,NA,NA,14.732739675045
0.25,0.3,"BBT",1,0,0.680576634007865,0.0510507550799053,NA,NA,0.691931034482759,0.883379310344828,NA,NA,0.405172413793103,0.947862068965517,NA,NA,0.438986584838481,0.438986584838481,NA,NA,15.4903421068192
0.25,0.4,"BBT",1,0,0.722843144744953,0.049888357690761,NA,NA,0.680344827586207,0.876735632183908,NA,NA,0.394804597701149,0.949218390804598,NA,NA,0.437224477935292,0.437224477935292,NA,NA,14.4897079849243
0.25,0.5,"BBT",1,0,0.766772671898065,0.0499221267534663,NA,NA,0.659885057471264,0.866114942528736,NA,NA,0.383862068965517,0.94767816091954,NA,NA,0.435661947863725,0.435661947863725,NA,NA,15.475957224369
0.25,0.6,"BBT",1,0,0.805936643500264,0.0452722298237251,NA,NA,0.646712643678161,0.860781609195402,NA,NA,0.373333333333333,0.958275862068966,NA,NA,0.434015668740378,0.434015668740378,NA,NA,15.7995931839943
0.25,0.7,"BBT",1,0,0.84691368356743,0.0448726836154918,NA,NA,0.630229885057471,0.845977011494253,NA,NA,0.360114942528736,0.959195402298851,NA,NA,0.431983915343552,0.431983915343552,NA,NA,15.1010051226616
0.25,0.8,"BBT",1,0,0.891112819536486,0.0446261252626442,NA,NA,0.614620689655172,0.830758620689655,NA,NA,0.356344827586207,0.959954022988506,NA,NA,0.430284860830033,0.430284860830033,NA,NA,14.8805377531052
0.25,0.9,"BBT",1,0,0.931042058658128,0.04302517730323,NA,NA,0.587816091954023,0.804620689655172,NA,NA,0.341080459770115,0.961770114942529,NA,NA,0.427863372225883,0.427863372225883,NA,NA,15.412936873436
0.25,0.1,"BIBT",0.578467794022603,0.421532205977397,0.446936586620327,0.0516762265137601,0.395260360106567,NA,0.774413793103448,0.896528735632184,0.682551724137931,NA,0.865034482758621,0.949264367816092,0.845632183908046,NA,1.01456535772813,0.446750321258013,0.910171073491913,NA,89.0571349859238
0.25,0.2,"BIBT",0.527301810207335,0.472698189792665,0.464744205892122,0.0508167069123562,0.413927498979766,NA,0.766551724137931,0.890873563218391,0.692367816091954,NA,0.873931034482759,0.951908045977012,0.856183908045977,NA,1.05019392494755,0.446090489968646,0.950061535435702,NA,91.7176856589317
0.25,0.3,"BIBT",0.476487717340436,0.523512282659564,0.481816872052754,0.0519730843407231,0.429843787712031,NA,0.760298850574713,0.88319540229885,0.697931034482759,NA,0.878574712643678,0.949195402298851,0.864068965517241,NA,1.08559928128025,0.445429707665607,0.989264942920814,NA,93.0469458317757
0.25,0.4,"BIBT",0.434691686491068,0.565308313508932,0.496371371000724,0.050794878562439,0.445576492438285,NA,0.757862068965517,0.876528735632184,0.70616091954023,NA,0.879379310344828,0.950459770114943,0.863747126436782,NA,1.09914948082559,0.443712860087824,1.00490692167774,NA,94.7065910959244
0.25,0.5,"BIBT",0.391226189581961,0.608773810418039,0.512942114239973,0.0510857128213089,0.461856401418664,NA,0.751448275862069,0.866252873563218,0.713333333333333,NA,0.881747126436782,0.948183908045977,0.867494252873563,NA,1.1265944438891,0.44267158741074,1.03525709797932,NA,93.246261537075
0.25,0.6,"BIBT",0.339514755837141,0.660485244162859,0.521599037220908,0.0466935743019605,0.474905462918947,NA,0.749747126436782,0.861241379310345,0.71567816091954,NA,0.887011494252874,0.959310344827586,0.875793103448276,NA,1.15605771341537,0.441732370543499,1.06771470206501,NA,89.9342883133888
0.25,0.7,"BIBT",0.293066162417075,0.706933837582925,0.533850525667415,0.0464871082256996,0.487363417441715,NA,0.744804597701149,0.846551724137931,0.722942528735632,NA,0.889287356321839,0.959218390804598,0.87967816091954,NA,1.17487162474942,0.440242507098942,1.08865179651978,NA,92.9638834762573
0.25,0.8,"BIBT",0.25361986884283,0.74638013115717,0.550925923147646,0.0468994411519092,0.504026481995737,NA,0.745701149425287,0.830689655172414,0.726114942528736,NA,0.888091954022988,0.958919540229885,0.877931034482759,NA,1.18935574669956,0.438878917417414,1.10476847544767,NA,92.3760418748856
0.25,0.9,"BIBT",0.201382183569869,0.798617816430131,0.550969173133165,0.045458363948884,0.505510809184281,NA,0.741977011494253,0.804735632183908,0.737103448275862,NA,0.898965517241379,0.960620689655172,0.891241379310345,NA,1.22341848970112,0.437152832200281,1.14213853089769,NA,90.2091933321953
0.25,0.1,"CA-BIBT",0.558643518547446,0.441356481452554,0.401591663063439,0.0468695121260476,0.354722150937391,0.00579318888210161,0.78632183908046,0.903172413793103,0.70616091954023,0.943103448275862,0.859908045977012,0.949793103448276,0.838436781609195,0.949908045977012,0.94462655380838,0.425963359006096,0.842865159448116,0.137360147534967,90.6634645366669
0.25,0.2,"CA-BIBT",0.508910306761033,0.491089693238967,0.370952703626636,0.0461725454608354,0.3247801581658,0.00578074094630945,0.795816091954023,0.896712643678161,0.736896551724138,0.961172413793103,0.857747126436782,0.952597701149425,0.833172413793103,0.947931034482759,0.905645235895714,0.425283038148087,0.799256305808272,0.137750750329237,92.8863501429558
0.25,0.3,"CA-BIBT",0.460774790972975,0.539225209027025,0.342083542360922,0.0470066646622305,0.295076877698692,0.00593839188525707,0.80367816091954,0.888758620689655,0.762459770114942,0.967011494252874,0.850390804597701,0.949563218390805,0.819057471264368,0.947195402298851,0.854008331783305,0.424432886584018,0.740971761436676,0.138090023722258,95.1959311938286
0.25,0.4,"CA-BIBT",0.411048348402422,0.588951651597578,0.310793353652357,0.0468357807293466,0.26395757292301,0.00491439402085638,0.815931034482759,0.880827586206897,0.788,0.971977011494253,0.83383908045977,0.950620689655172,0.788620689655172,0.965241379310345,0.78521173584281,0.423008114558617,0.66087674124915,0.138329253909806,98.2949560976028
0.25,0.5,"CA-BIBT",0.367149771500446,0.632850228499554,0.276546488677282,0.0464076161518806,0.230138872525402,0.00542729805851934,0.827494252873563,0.873264367816092,0.808988505747126,0.973448275862069,0.820597701149425,0.949931034482759,0.761609195402299,0.962436781609195,0.718150182021976,0.422024083592015,0.582044364249039,0.138766249567702,94.6708383321762
0.25,0.6,"CA-BIBT",0.314303539967536,0.685696460032464,0.233674748836393,0.0429519040284776,0.190722844807915,0.00639678967768673,0.841471264367816,0.86864367816092,0.837885057471264,0.976045977011494,0.830620689655172,0.95864367816092,0.758804597701149,0.94167816091954,0.676888417890968,0.421085111438479,0.529744682201187,0.139026379220346,89.4376965045929
0.25,0.7,"CA-BIBT",0.262553478056134,0.737446521943867,0.189893608047236,0.0421388714842528,0.147754736562984,0.00553963024717893,0.859471264367816,0.854,0.862114942528736,0.978413793103448,0.846528735632184,0.958965517241379,0.767954022988506,0.958781609195402,0.633776220026219,0.419327359528497,0.476385694557515,0.139410803733056,94.1742690491676
0.25,0.8,"CA-BIBT",0.220958651733744,0.779041348266256,0.146044136008861,0.042440567208192,0.103603568800669,0.00656665658965237,0.876942528735632,0.842252873563218,0.887264367816092,0.979333333333333,0.864551724137931,0.959655172413793,0.771747126436782,0.931149425287356,0.580187068496154,0.417865218894177,0.403975820010459,0.139761787179019,94.4315015244484
0.25,0.9,"CA-BIBT",0.17533471163198,0.82466528836802,0.0965351605043098,0.040903067578156,0.0556320929261539,0.00528912030656313,0.903333333333333,0.822666666666667,0.922298850574713,0.98151724137931,0.921172413793103,0.961287356321839,0.858229885057471,0.968850574712644,0.553429847665795,0.416259089691349,0.366917213768476,0.140268624376131,91.4508479213715
0.25,0.1,"CARE",1,0,0.595016325108526,0.0517128720981497,NA,0.0989854794818698,0.724896551724138,0.896252873563218,NA,0.559172413793103,0.437977011494253,0.947885057471264,NA,0.326367816091954,0.443839949212261,0.443839949212261,NA,0.134854341687996,14.1132118844986
0.25,0.2,"CARE",1,0,0.637411689136864,0.0506624840215161,NA,0.192182252226266,0.710367816091954,0.890436781609195,NA,0.569747126436782,0.422735632183908,0.950850574712644,NA,0.237218390804598,0.442596780629079,0.442596780629079,NA,0.134546414988128,14.3254011869431
0.25,0.3,"CARE",1,2.22044604925031e-18,0.681159402632758,0.0516335237047988,NA,0.285372330004705,0.691471264367816,0.883241379310345,NA,0.573977011494253,0.406597701149425,0.947425287356322,NA,0.195885057471264,0.441228882042723,0.441228882042723,NA,0.134523621567373,14.5062377524376
